,dataset,user_vector,content_vector,alg_type,CF_CB,N,rating_stdev,item_coverage,serendipity,user_coverage,pred_n,avg_mean_rank,pred_coverage,novelty,cat_diversity,avg_highest_rank,mae,avg_lowest_rank,content_serendipity,rmse,cat_coverage,ils,rmse_adj,mae_adj,users,items,ratings,rating_min,rating_max,rating_mean,density,rating_variance
71,last_fm,any_interact,tags,cf_item,CF,100,0,90.84051724,0.567221797,100,0.00048951,53.66292135,1.045145997,-1.43002908,0.224274575,53.13483146,0,54.19101124,0.784951085,0,0.567150635,0.926034604,3,3,1892,17632,92834,1,1,1,0.002782815,0
45,last_fm,num_plays,tags,cf_item,CF,1000,3751.301876,93.67059891,0.276123027,100,0.000233997,619.118303,4.719319039,-1.270619819,0.17127754,561.7127273,2123.202315,673.7709091,0.809662092,15885.86763,5.671506352,0.936032994,4.801359111,4.991272193,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
47,last_fm,num_plays,tags,cf_mllib,CF,100,3751.301876,7.140426497,0.051504525,100,0.003512641,39.40105105,7.035879754,-0.108551489,0.478997418,36.8036036,5029.866405,41.97477477,0.71952393,13246.32511,0.567150635,0.85258526,4.845903466,4.942398144,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
52,last_fm,num_plays,tags,cb_vect,CB,1000,3751.301876,60.99705082,0.080131509,99.84143763,0.003503497,204.396363,70.16485293,-0.701866432,0.474137006,66.19248036,206271.9339,415.2171717,0.595717801,210916.2424,5.662513477,0.720609337,1.510068214,1.558617144,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
53,last_fm,num_plays,tags,cf_mllib,CF,1000,3751.301876,49.0188294,0.09351469,100,0.001471759,389.2712422,29.49035664,-0.314703049,0.321942447,266.1014493,2061.581681,519.1195652,0.755139134,8202.613287,5.671506352,0.893937388,4.931020068,4.992308312,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
55,last_fm,num_plays,tags,cf_user,CF,1000,3751.301876,91.3396098,0.061061227,100,0.001154922,430.0854813,23.13328305,-0.298920454,0.278923104,342.6471532,1604.13741,521.4266239,0.772823428,7291.734307,5.671506352,0.91774862,4.946391867,5,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
58,last_fm,num_plays,tags,cb_vect,CB,100,3751.301876,40.65335753,0.099238291,99.84143763,0.018203335,37.03002325,36.45081349,-0.432465019,0.83598682,23.80942761,239494.317,52.03703704,0.478447784,241141.0989,0.566251348,0.5291483,1,1,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
61,last_fm,num_plays,tags,cf_user,CF,100,3751.301876,17.03153358,0.014316778,100,0.001151157,54.70833333,2.305786014,-0.046713337,0.328102814,53.92156863,3326.502672,55.49509804,0.766951586,4115.104019,0.567150635,0.903917351,5,4.971039321,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
62,last_fm,num_plays,tags,cb_kmeans_100,CB,100,3751.301876,41.9634755,0.203669722,99.84143763,0.005244755,23.82551261,10.50533348,-0.808524585,0.324995484,20.14022663,209578.8784,27.83711048,0.61140168,214811.0483,0.560588834,0.744328473,1.444340303,1.503012586,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
63,last_fm,num_plays,tags,cb_kmeans_1000,CB,1000,3751.301876,61.22391107,0.111574695,99.84143763,0.0022851,131.2073234,45.77092986,-1.066073784,0.283819011,58.90914597,206816.4005,234.29255,0.664923015,214013.0278,5.605888343,0.817016192,1.457807526,1.549462219,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
65,last_fm,num_plays,tags,cf_item,CF,100,3751.301876,91.85004537,0.529788441,100,6.99E-05,61.35714286,0.150845814,-1.423210066,0.138791094,61.35714286,21585.23473,61.35714286,0.830454437,77746.71469,0.567150635,0.927778794,3.757408685,4.664028211,1892,17632,92834,1,352698,745.24393,0.002782815,14072265.76
72,jester,pos_ratings,glove,cf_mllib,CF,100,2.739420935,100,0.266564067,99.83802621,0.029584214,46.4191048,80.69039642,-3.378511481,122.191559,28.65123497,1.77784089,65.21693209,0.041039787,2.263468892,66.55868414,0.057615731,5,5,122242,150,3568734,0.03125,10,4.58950632,0.194626724,7.504427058
74,jester,pos_ratings,glove,cb_vect,CB,100,2.739420935,76,0.295561729,99.83802621,0.025206149,52.04094585,68.75526558,-1.460908365,173.9370289,36.0300057,2.472621498,68.13996577,0.039193468,2.982996005,66.55868414,0.051554659,1.812646902,1.511057197,122242,150,3568734,0.03125,10,4.58950632,0.194626724,7.504427058
76,jester,pos_ratings,glove,cb_kmeans_1000,CB,1000,2.739420935,86.66666667,0.294284707,99.83802621,0.003213998,66.05766693,87.66881348,-3.988905951,143.292438,41.87368799,2.533192139,91.15942795,0.040895763,3.093768017,86.52628938,0.056154274,1.321950291,1.206892836,122242,150,3568734,0.03125,10,4.58950632,0.194626724,7.504427058
79,jester,pos_ratings,glove,cf_mllib,CF,1000,2.739420935,100,0.270491598,99.83802621,0.003663872,60.68046015,99.94010183,-3.614788209,118.730402,34.36529366,1.842721059,89.62270708,0.04232477,2.367140033,99.83802621,0.059341099,4.540758746,4.674194708,122242,150,3568734,0.03125,10,4.58950632,0.194626724,7.504427058
81,jester,pos_ratings,glove,cb_kmeans_100,CB,100,2.739420935,76.66666667,0.316505637,99.83802621,0.024855932,52.01993497,67.79997369,-3.542252631,164.4350992,36.23130683,2.574392336,67.83489848,0.039584247,3.166446492,66.55868414,0.052414279,1,1,122242,150,3568734,0.03125,10,4.58950632,0.194626724,7.504427058
86,jester,pos_ratings,glove,cb_vect,CB,1000,2.739420935,86.66666667,0.294292035,99.83802621,0.003213998,66.03548887,87.66881348,-3.988905951,143.292438,41.84905979,2.531232418,91.1420508,0.040895763,3.090547813,86.52628938,0.056154274,1.336215113,1.216733861,122242,150,3568734,0.03125,10,4.58950632,0.194626724,7.504427058
73,jester,ratings_to_interact,glove,cf_mllib,CF,100,0.975425458,100,0.238080971,100,0.036181181,45.97102553,69.86656511,-2.022208611,130.8218225,24.07292914,0.638323041,69.2720699,0.037759366,0.847383838,66.66666667,0.055450048,5,5,124112,150,5848803,-1,1,0.220329698,0.31416801,0.951454824
77,jester,ratings_to_interact,glove,cb_kmeans_1000,CB,1000,0.975425458,86.66666667,0.279934064,100,0.004570077,66.35645898,88.25079543,-3.976309316,143.292438,35.03641399,0.833143383,99.26577031,0.038023951,0.937289592,86.66666667,0.056154274,1.20498758,1.027233432,124112,150,5848803,-1,1,0.220329698,0.31416801,0.951454824
